# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_fc    result    
2         0         1         1         38        50        31        52        377.00    0         
2         0         1         1         39        51        31        49        339.80    0         
2         0         1         1         40        52        31        40        228.20    0         
2         0         1         1         41        53        31        51        364.60    0         
2         0         1         1         42        54        31        50        352.20    0         
2         0         1         1         43        55        31        47        315.00    0         
2         0         1         1         44        56        31        51        364.60    0         
2         0         1         1         45        57        31        50        352.20    0         
2         0         1         1         46        58        31        53        389.40    0         
2         0         1         1         47        59        31        52        377.00    0         
2         0         1         2         0         84        31        44        277.80    0         
2         0         1         2         1         85        31        52        377.00    0         
2         0         1         2         2         86        31        43        265.40    0         
2         0         1         2         3         87        31        43        265.40    0         
2         0         1         2         4         88        31        43        265.40    0         
2         0         1         2         5         89        31        44        277.80    0         
2         0         1         2         6         90        31        45        290.20    0         
2         0         1         2         7         91        31        47        315.00    0         
2         0         1         2         8         92        31        45        290.20    0         
2         0         1         2         9         93        31        45        290.20    0         
2         0         1         2         10        94        31        38        203.40    0         
2         0         1         2         11        95        31        53        389.40    0         
2         0         1         2         12        96        31        39        215.80    0         
2         0         1         2         13        97        31        46        302.60    0         
2         0         1         2         14        98        31        45        290.20    0         
2         0         1         2         15        99        31        42        253.00    0         
2         0         1         2         16        100       31        43        265.40    0         
2         0         1         2         17        101       31        48        327.40    0         
2         0         1         2         18        102       31        46        302.60    0         
2         0         1         2         19        103       31        30        138.30    0         
2         0         1         2         20        104       31        40        228.20    0         
2         0         1         2         21        105       31        38        203.40    0         
2         0         1         2         22        106       31        47        315.00    0         
2         0         1         2         23        107       31        44        277.80    0         
2         0         1         2         24        108       31        45        290.20    0         
2         0         1         2         25        109       31        41        240.60    0         
2         0         1         2         26        110       31        46        302.60    0         
2         0         1         2         27        111       31        44        277.80    0         
2         0         1         2         28        112       31        49        339.80    0         
2         0         1         2         30        114       31        47        315.00    0         
2         0         1         2         31        115       31        34        163.10    0         
2         0         1         2         32        116       31        48        327.40    0         
2         0         1         2         33        117       31        45        290.20    0         
2         0         1         2         34        118       31        47        315.00    0         
2         0         1         2         35        119       31        44        277.80    0         
2         0         1         2         36        120       31        48        327.40    0         
2         0         1         2         38        122       31        35        169.30    0         
2         0         1         2         39        123       31        42        253.00    0         
2         0         1         2         40        124       31        38        203.40    0         
2         0         1         2         41        125       31        48        327.40    0         
2         0         1         2         42        126       31        39        215.80    0         
2         0         1         2         43        127       31        46        302.60    0         
2         0         1         2         44        128       31        46        302.60    0         
2         0         1         2         45        129       31        44        277.80    0         
2         0         1         2         46        130       31        45        290.20    0         
2         0         1         2         47        131       31        51        364.60    0         
2         0         1         3         0         12        31        53        389.40    0         
2         0         1         3         1         13        31        62        569.80    0         
2         0         1         3         2         14        31        62        569.80    0         
2         0         1         3         3         15        31        62        569.80    0         
2         0         1         3         4         16        31        55        414.20    0         
2         0         1         3         5         17        31        62        569.80    0         
2         0         1         3         6         18        31        62        569.80    0         
2         0         1         3         8         20        31        51        364.60    0         
2         0         1         3         9         21        31        39        215.80    0         
2         0         1         3         10        22        31        70        678.20    0         
2         0         1         3         11        23        31        59        495.40    0         
2         0         1         3         12        24        31        62        569.80    0         
2         0         1         3         13        25        31        58        470.60    0         
2         0         1         3         14        26        31        59        495.40    0         
2         0         1         3         15        27        31        59        495.40    0         
2         0         1         3         16        28        31        63        594.60    0         
2         0         1         3         17        29        31        68        628.60    0         
2         0         1         3         19        31        31        68        628.60    0         
2         0         1         3         20        32        31        55        414.20    0         
2         0         1         3         21        33        31        57        445.80    0         
2         0         1         3         22        34        31        55        414.20    0         
2         0         1         3         23        35        31        58        470.60    0         
2         0         1         3         24        36        31        60        520.20    0         
2         0         1         3         25        37        31        60        520.20    0         
2         0         1         3         26        38        31        57        445.80    0         
2         0         1         3         27        39        31        66        579.00    0         
2         0         1         3         28        40        31        62        569.80    0         
2         0         1         3         29        41        31        62        569.80    0         
2         0         1         3         30        42        31        67        603.80    0         
