# CU        RBX       Run       RM        sipm_ch   uhtr_ch   shunt     max_adc   max_fc    result    
6         0         1         3         39        51        31        224       116677.60 1         
6         0         1         3         40        52        31        223       113503.20 1         
6         0         1         3         41        53        31        229       137523.20 1         
6         0         1         3         42        54        31        231       150220.80 1         
6         0         1         3         43        55        31        229       137523.20 1         
6         0         1         3         44        56        31        228       131174.40 1         
6         0         1         3         45        57        31        229       137523.20 1         
6         0         1         3         46        58        31        231       150220.80 1         
6         0         1         3         47        59        31        222       110328.80 1         
6         0         1         4         0         84        31        210       72236.00  1         
6         0         1         4         1         85        31        221       107154.40 1         
6         0         1         4         2         86        31        225       119852.00 1         
6         0         1         4         3         87        31        229       137523.20 1         
6         0         1         4         4         88        31        216       91282.40  1         
6         0         1         4         5         89        31        229       137523.20 1         
6         0         1         4         6         90        31        221       107154.40 1         
6         0         1         4         7         91        31        225       119852.00 1         
6         0         1         4         8         92        31        213       81759.20  1         
6         0         1         4         9         93        31        222       110328.80 1         
6         0         1         4         10        94        31        227       126200.80 1         
6         0         1         4         11        95        31        229       137523.20 1         
6         0         1         4         12        96        31        226       123026.40 1         
6         0         1         4         13        97        31        225       119852.00 1         
6         0         1         4         14        98        31        226       123026.40 1         
6         0         1         4         15        99        31        220       103980.00 1         
6         0         1         4         16        100       31        230       143872.00 1         
6         0         1         4         17        101       31        229       137523.20 1         
6         0         1         4         18        102       31        229       137523.20 1         
6         0         1         4         19        103       31        222       110328.80 1         
6         0         1         4         20        104       31        231       150220.80 1         
6         0         1         4         21        105       31        229       137523.20 1         
6         0         1         4         22        106       31        225       119852.00 1         
6         0         1         4         23        107       31        229       137523.20 1         
6         0         1         4         24        108       31        224       116677.60 1         
6         0         1         4         25        109       31        227       126200.80 1         
6         0         1         4         26        110       31        229       137523.20 1         
6         0         1         4         27        111       31        228       131174.40 1         
6         0         1         4         28        112       31        224       116677.60 1         
6         0         1         4         29        113       31        229       137523.20 1         
6         0         1         4         30        114       31        227       126200.80 1         
6         0         1         4         31        115       31        225       119852.00 1         
6         0         1         4         32        116       31        229       137523.20 1         
6         0         1         4         33        117       31        220       103980.00 1         
6         0         1         4         34        118       31        229       137523.20 1         
6         0         1         4         35        119       31        219       100805.60 1         
6         0         1         4         36        120       31        229       137523.20 1         
6         0         1         4         37        121       31        231       150220.80 1         
6         0         1         4         38        122       31        230       143872.00 1         
6         0         1         4         39        123       31        230       143872.00 1         
6         0         1         4         40        124       31        210       72236.00  1         
6         0         1         4         41        125       31        229       137523.20 1         
6         0         1         4         42        126       31        225       119852.00 1         
6         0         1         4         43        127       31        221       107154.40 1         
6         0         1         4         44        128       31        231       150220.80 1         
6         0         1         4         45        129       31        226       123026.40 1         
6         0         1         4         46        130       31        224       116677.60 1         
6         0         1         4         47        131       31        227       126200.80 1         
6         0         2         1         0         12        31        217       94456.80  1         
6         0         2         1         1         13        31        227       126200.80 1         
6         0         2         1         2         14        31        228       131174.40 1         
6         0         2         1         3         15        31        227       126200.80 1         
6         0         2         1         4         16        31        229       137523.20 1         
6         0         2         1         5         17        31        232       156569.60 1         
6         0         2         1         6         18        31        227       126200.80 1         
6         0         2         1         7         19        31        227       126200.80 1         
6         0         2         1         8         20        31        225       119852.00 1         
6         0         2         1         9         21        31        223       113503.20 1         
6         0         2         1         10        22        31        229       137523.20 1         
6         0         2         1         11        23        31        235       175616.00 1         
6         0         2         1         12        24        31        235       175616.00 1         
6         0         2         1         13        25        31        234       169267.20 1         
6         0         2         1         14        26        31        226       123026.40 1         
6         0         2         1         15        27        31        226       123026.40 1         
6         0         2         1         16        28        31        228       131174.40 1         
6         0         2         1         17        29        31        235       175616.00 1         
6         0         2         1         18        30        31        230       143872.00 1         
6         0         2         1         19        31        31        217       94456.80  1         
6         0         2         1         20        32        31        229       137523.20 1         
6         0         2         1         21        33        31        225       119852.00 1         
6         0         2         1         22        34        31        229       137523.20 1         
6         0         2         1         23        35        31        225       119852.00 1         
6         0         2         1         24        36        31        229       137523.20 1         
6         0         2         1         25        37        31        232       156569.60 1         
6         0         2         1         26        38        31        226       123026.40 1         
6         0         2         1         27        39        31        231       150220.80 1         
6         0         2         1         28        40        31        231       150220.80 1         
6         0         2         1         29        41        31        227       126200.80 1         
6         0         2         1         30        42        31        229       137523.20 1         
6         0         2         1         31        43        31        231       150220.80 1         
6         0         2         1         32        44        31        220       103980.00 1         
6         0         2         1         33        45        31        228       131174.40 1         
6         0         2         1         34        46        31        236       181964.80 1         
6         0         2         1         35        47        31        217       94456.80  1         
6         0         2         1         36        48        31        231       150220.80 1         
6         0         2         1         37        49        31        230       143872.00 1         
6         0         2         1         38        50        31        232       156569.60 1         
6         0         2         1         39        51        31        230       143872.00 1         
6         0         2         1         40        52        31        218       97631.20  1         
6         0         2         1         41        53        31        231       150220.80 1         
6         0         2         1         42        54        31        227       126200.80 1         
6         0         2         1         43        55        31        233       162918.40 1         
6         0         2         1         44        56        31        230       143872.00 1         
6         0         2         1         45        57        31        228       131174.40 1         
6         0         2         1         46        58        31        231       150220.80 1         
6         0         2         1         47        59        31        233       162918.40 1         
6         0         2         2         0         84        31        225       119852.00 1         
6         0         2         2         1         85        31        232       156569.60 1         
6         0         2         2         2         86        31        229       137523.20 1         
6         0         2         2         3         87        31        222       110328.80 1         
6         0         2         2         4         88        31        229       137523.20 1         
6         0         2         2         5         89        31        221       107154.40 1         
6         0         2         2         6         90        31        229       137523.20 1         
6         0         2         2         7         91        31        229       137523.20 1         
6         0         2         2         8         92        31        224       116677.60 1         
6         0         2         2         9         93        31        230       143872.00 1         
6         0         2         2         10        94        31        217       94456.80  1         
6         0         2         2         11        95        31        233       162918.40 1         
6         0         2         2         12        96        31        227       126200.80 1         
6         0         2         2         13        97        31        227       126200.80 1         
6         0         2         2         14        98        31        231       150220.80 1         
6         0         2         2         15        99        31        227       126200.80 1         
6         0         2         2         16        100       31        229       137523.20 1         
6         0         2         2         17        101       31        230       143872.00 1         
6         0         2         2         18        102       31        224       116677.60 1         
6         0         2         2         19        103       31        212       78584.80  1         
6         0         2         2         20        104       31        226       123026.40 1         
6         0         2         2         21        105       31        225       119852.00 1         
6         0         2         2         22        106       31        231       150220.80 1         
6         0         2         2         23        107       31        229       137523.20 1         
6         0         2         2         24        108       31        229       137523.20 1         
6         0         2         2         25        109       31        220       103980.00 1         
6         0         2         2         26        110       31        229       137523.20 1         
6         0         2         2         27        111       31        223       113503.20 1         
6         0         2         2         28        112       31        227       126200.80 1         
6         0         2         2         30        114       31        228       131174.40 1         
6         0         2         2         31        115       31        224       116677.60 1         
6         0         2         2         32        116       31        232       156569.60 1         
6         0         2         2         33        117       31        223       113503.20 1         
6         0         2         2         34        118       31        226       123026.40 1         
6         0         2         2         35        119       31        222       110328.80 1         
6         0         2         2         36        120       31        229       137523.20 1         
6         0         2         2         38        122       31        218       97631.20  1         
6         0         2         2         39        123       31        226       123026.40 1         
6         0         2         2         40        124       31        221       107154.40 1         
6         0         2         2         41        125       31        225       119852.00 1         
6         0         2         2         42        126       31        221       107154.40 1         
6         0         2         2         43        127       31        233       162918.40 1         
6         0         2         2         44        128       31        229       137523.20 1         
6         0         2         2         45        129       31        232       156569.60 1         
6         0         2         2         46        130       31        225       119852.00 1         
6         0         2         2         47        131       31        229       137523.20 1         
6         0         2         3         0         12        31        225       119852.00 1         
6         0         2         3         1         13        31        229       137523.20 1         
6         0         2         3         2         14        31        229       137523.20 1         
6         0         2         3         3         15        31        232       156569.60 1         
6         0         2         3         4         16        31        225       119852.00 1         
6         0         2         3         5         17        31        230       143872.00 1         
6         0         2         3         6         18        31        234       169267.20 1         
6         0         2         3         8         20        31        222       110328.80 1         
6         0         2         3         9         21        31        206       61914.40  1         
6         0         2         3         10        22        31        224       116677.60 1         
6         0         2         3         11        23        31        227       126200.80 1         
6         0         2         3         12        24        31        231       150220.80 1         
6         0         2         3         13        25        31        232       156569.60 1         
6         0         2         3         14        26        31        232       156569.60 1         
6         0         2         3         15        27        31        232       156569.60 1         
6         0         2         3         16        28        31        225       119852.00 1         
6         0         2         3         17        29        31        233       162918.40 1         
6         0         2         3         19        31        31        234       169267.20 1         
6         0         2         3         20        32        31        227       126200.80 1         
6         0         2         3         21        33        31        232       156569.60 1         
6         0         2         3         22        34        31        226       123026.40 1         
6         0         2         3         23        35        31        228       131174.40 1         
6         0         2         3         24        36        31        229       137523.20 1         
6         0         2         3         25        37        31        226       123026.40 1         
6         0         2         3         26        38        31        229       137523.20 1         
6         0         2         3         27        39        31        231       150220.80 1         
6         0         2         3         28        40        31        234       169267.20 1         
6         0         2         3         29        41        31        233       162918.40 1         
6         0         2         3         30        42        31        232       156569.60 1         
6         0         2         3         31        43        31        235       175616.00 1         
6         0         2         3         32        44        31        221       107154.40 1         
6         0         2         3         33        45        31        225       119852.00 1         
6         0         2         3         34        46        31        227       126200.80 1         
6         0         2         3         35        47        31        219       100805.60 1         
6         0         2         3         36        48        31        228       131174.40 1         
6         0         2         3         37        49        31        225       119852.00 1         
6         0         2         3         38        50        31        226       123026.40 1         
6         0         2         3         39        51        31        225       119852.00 1         
6         0         2         3         40        52        31        225       119852.00 1         
6         0         2         3         41        53        31        229       137523.20 1         
6         0         2         3         42        54        31        232       156569.60 1         
6         0         2         3         43        55        31        230       143872.00 1         
6         0         2         3         44        56        31        229       137523.20 1         
6         0         2         3         45        57        31        230       143872.00 1         
6         0         2         3         46        58        31        231       150220.80 1         
6         0         2         3         47        59        31        224       116677.60 1         
6         0         2         4         0         84        31        211       75410.40  1         
6         0         2         4         1         85        31        223       113503.20 1         
6         0         2         4         2         86        31        227       126200.80 1         
6         0         2         4         3         87        31        230       143872.00 1         
6         0         2         4         4         88        31        218       97631.20  1         
6         0         2         4         5         89        31        230       143872.00 1         
6         0         2         4         6         90        31        222       110328.80 1         
6         0         2         4         7         91        31        227       126200.80 1         
6         0         2         4         8         92        31        215       88108.00  1         
6         0         2         4         9         93        31        224       116677.60 1         
6         0         2         4         10        94        31        229       137523.20 1         
6         0         2         4         11        95        31        230       143872.00 1         
6         0         2         4         12        96        31        227       126200.80 1         
6         0         2         4         13        97        31        226       123026.40 1         
6         0         2         4         14        98        31        228       131174.40 1         
6         0         2         4         15        99        31        222       110328.80 1         
6         0         2         4         16        100       31        230       143872.00 1         
6         0         2         4         17        101       31        230       143872.00 1         
6         0         2         4         18        102       31        230       143872.00 1         
6         0         2         4         19        103       31        224       116677.60 1         
6         0         2         4         20        104       31        232       156569.60 1         
6         0         2         4         21        105       31        230       143872.00 1         
6         0         2         4         22        106       31        227       126200.80 1         
6         0         2         4         23        107       31        229       137523.20 1         
6         0         2         4         24        108       31        225       119852.00 1         
6         0         2         4         25        109       31        228       131174.40 1         
6         0         2         4         26        110       31        230       143872.00 1         
6         0         2         4         27        111       31        229       137523.20 1         
6         0         2         4         28        112       31        225       119852.00 1         
6         0         2         4         29        113       31        230       143872.00 1         
6         0         2         4         30        114       31        229       137523.20 1         
6         0         2         4         31        115       31        227       126200.80 1         
6         0         2         4         32        116       31        230       143872.00 1         
6         0         2         4         33        117       31        222       110328.80 1         
6         0         2         4         34        118       31        230       143872.00 1         
6         0         2         4         35        119       31        221       107154.40 1         
6         0         2         4         36        120       31        230       143872.00 1         
6         0         2         4         37        121       31        232       156569.60 1         
6         0         2         4         38        122       31        231       150220.80 1         
6         0         2         4         39        123       31        231       150220.80 1         
6         0         2         4         40        124       31        212       78584.80  1         
6         0         2         4         41        125       31        230       143872.00 1         
6         0         2         4         42        126       31        226       123026.40 1         
6         0         2         4         43        127       31        223       113503.20 1         
6         0         2         4         44        128       31        232       156569.60 1         
6         0         2         4         45        129       31        228       131174.40 1         
6         0         2         4         46        130       31        225       119852.00 1         
6         0         2         4         47        131       31        229       137523.20 1         
6         0         3         1         0         12        31        218       97631.20  1         
6         0         3         1         1         13        31        229       137523.20 1         
6         0         3         1         2         14        31        229       137523.20 1         
6         0         3         1         3         15        31        228       131174.40 1         
