# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_pc    result    
6         0         2         3         43        55        31        214       976.74    1         
6         0         2         3         44        56        31        211       867.22    1         
6         0         2         3         45        57        31        213       940.23    1         
6         0         2         3         46        58        31        215       1013.24   1         
6         0         2         3         47        59        31        207       730.27    1         
6         0         2         4         0         84        31        207       730.27    1         
6         0         2         4         1         85        31        212       903.73    1         
6         0         2         4         2         86        31        213       940.23    1         
6         0         2         4         3         87        31        208       757.70    1         
6         0         2         4         4         88        31        212       903.73    1         
6         0         2         4         5         89        31        204       675.51    1         
6         0         2         4         6         90        31        211       867.22    1         
6         0         2         4         7         91        31        211       867.22    1         
6         0         2         4         8         92        31        207       730.27    1         
6         0         2         4         9         93        31        211       867.22    1         
6         0         2         4         10        94        31        201       620.75    1         
6         0         2         4         11        95        31        217       1086.25   1         
6         0         2         4         12        96        31        204       675.51    1         
6         0         2         4         13        97        31        210       830.71    1         
6         0         2         4         14        98        31        213       940.23    1         
6         0         2         4         15        99        31        206       712.02    1         
6         0         2         4         16        100       31        214       976.74    1         
6         0         2         4         17        101       31        210       830.71    1         
6         0         2         4         18        102       31        205       693.76    1         
6         0         2         4         19        103       31        190       475.29    1         
6         0         2         4         20        104       31        210       830.71    1         
6         0         2         4         21        105       31        210       830.71    1         
6         0         2         4         22        106       31        216       1049.75   1         
6         0         2         4         23        107       31        212       903.73    1         
6         0         2         4         24        108       31        209       794.21    1         
6         0         2         4         25        109       31        201       620.75    1         
6         0         2         4         26        110       31        210       830.71    1         
6         0         2         4         27        111       31        202       639.00    1         
6         0         2         4         28        112       31        207       730.27    1         
6         0         2         4         30        114       31        209       794.21    1         
6         0         2         4         31        115       31        202       639.00    1         
6         0         2         4         32        116       31        211       867.22    1         
6         0         2         4         33        117       31        204       675.51    1         
6         0         2         4         34        118       31        210       830.71    1         
6         0         2         4         35        119       31        204       675.51    1         
6         0         2         4         36        120       31        209       794.21    1         
6         0         2         4         38        122       31        203       657.26    1         
6         0         2         4         39        123       31        211       867.22    1         
6         0         2         4         40        124       31        206       712.02    1         
6         0         2         4         41        125       31        209       794.21    1         
6         0         2         4         42        126       31        206       712.02    1         
6         0         2         4         43        127       31        216       1049.75   1         
6         0         2         4         44        128       31        211       867.22    1         
6         0         2         4         45        129       31        215       1013.24   1         
6         0         2         4         46        130       31        209       794.21    1         
6         0         2         4         47        131       31        212       903.73    1         
6         0         3         1         0         12        31        199       584.25    1         
6         0         3         1         1         13        31        210       830.71    1         
6         0         3         1         2         14        31        211       867.22    1         
6         0         3         1         3         15        31        210       830.71    1         
6         0         3         1         4         16        31        212       903.73    1         
6         0         3         1         5         17        31        216       1049.75   1         
6         0         3         1         6         18        31        208       757.70    1         
6         0         3         1         7         19        31        208       757.70    1         
6         0         3         1         8         20        31        209       794.21    1         
6         0         3         1         9         21        31        206       712.02    1         
6         0         3         1         10        22        31        211       867.22    1         
6         0         3         1         11        23        31        220       1195.77   1         
6         0         3         1         12        24        31        221       1232.28   1         
6         0         3         1         13        25        31        219       1159.26   1         
6         0         3         1         14        26        31        210       830.71    1         
6         0         3         1         15        27        31        209       794.21    1         
6         0         3         1         16        28        31        210       830.71    1         
6         0         3         1         17        29        31        219       1159.26   1         
6         0         3         1         18        30        31        213       940.23    1         
6         0         3         1         19        31        31        201       620.75    1         
6         0         3         1         20        32        31        211       867.22    1         
6         0         3         1         21        33        31        209       794.21    1         
6         0         3         1         22        34        31        213       940.23    1         
6         0         3         1         23        35        31        209       794.21    1         
6         0         3         1         24        36        31        211       867.22    1         
6         0         3         1         25        37        31        215       1013.24   1         
6         0         3         1         26        38        31        210       830.71    1         
6         0         3         1         27        39        31        215       1013.24   1         
6         0         3         1         28        40        31        215       1013.24   1         
6         0         3         1         29        41        31        211       867.22    1         
6         0         3         1         30        42        31        212       903.73    1         
6         0         3         1         31        43        31        214       976.74    1         
6         0         3         1         32        44        31        201       620.75    1         
6         0         3         1         33        45        31        209       794.21    1         
6         0         3         1         34        46        31        222       1268.78   1         
6         0         3         1         35        47        31        200       602.50    1         
6         0         3         1         36        48        31        215       1013.24   1         
6         0         3         1         37        49        31        214       976.74    1         
6         0         3         1         38        50        31        217       1086.25   1         
6         0         3         1         39        51        31        213       940.23    1         
6         0         3         1         40        52        31        199       584.25    1         
6         0         3         1         41        53        31        215       1013.24   1         
6         0         3         1         42        54        31        210       830.71    1         
6         0         3         1         43        55        31        217       1086.25   1         
6         0         3         1         44        56        31        213       940.23    1         
6         0         3         1         45        57        31        211       867.22    1         
6         0         3         1         46        58        31        216       1049.75   1         
6         0         3         1         47        59        31        218       1122.76   1         
